i,type,db,fe,scaler,result,acc,f1,model,file,index
62,a_posteriori,prote,rfe,min_max_scaling,0.5833333333333333,0.5,0.36217948717948717,"MLP | {'batch_size': 1, 'activation': 'relu', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(16)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_rfe_min_max_scaling_2.csv,2
63,a_posteriori,prote,rfe,standard_scaling,0.6666666666666666,0.4375,0.44814814814814813,"MLP | {'batch_size': 4, 'activation': 'tanh', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(8)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_rfe_standard_scaling_0.csv,0
64,a_posteriori,prote,rfe,standard_scaling,0.6111111111111112,0.5,0.467032967032967,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(64, 32)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_rfe_standard_scaling_1.csv,1
65,a_posteriori,prote,rfe,standard_scaling,0.6666666666666666,0.4375,0.40967365967365965,"MLP | {'batch_size': 1, 'activation': 'relu', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(64)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_rfe_standard_scaling_2.csv,2
66,a_posteriori,prote,rfe,unscaled,0.6388888888888888,0.3125,0.30710955710955706,"LRegression | {'penalty': 'l2', 'C': 0.25, 'class_weight': 'balanced', 'solver': 'liblinear', 'max_iter': 350}",a_posteriori_prote_rfe_unscaled_0.csv,0
67,a_posteriori,prote,rfe,unscaled,0.6111111111111112,0.4375,0.4225589225589226,"LRegression | {'penalty': 'l2', 'C': 0.1, 'class_weight': 'balanced', 'solver': 'lbfgs', 'max_iter': 350}",a_posteriori_prote_rfe_unscaled_1.csv,1
68,a_posteriori,prote,rfe,unscaled,0.5833333333333333,0.3125,0.15873015873015872,"MLP | {'batch_size': 16, 'activation': 'tanh', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(8, 16)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_rfe_unscaled_2.csv,2
69,a_posteriori,prote,rfe,yeo_johnson_transformation,0.8333333333333333,0.5,0.47380952380952374,"SVM | {'C': 0.1, 'kernel': 'linear'}",a_posteriori_prote_rfe_yeo_johnson_transformation_0.csv,0
70,a_posteriori,prote,rfe,yeo_johnson_transformation,0.6944444444444444,0.5,0.484126984126984,"MLP | {'batch_size': 4, 'activation': 'tanh', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(16)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_rfe_yeo_johnson_transformation_1.csv,1
71,a_posteriori,prote,rfe,yeo_johnson_transformation,0.5555555555555556,0.375,0.3162393162393162,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(64)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_prote_rfe_yeo_johnson_transformation_2.csv,2
